EmployeeID,FirstName,LastName,Gender,Age,BusinessTravel,Department,DistanceFromHome (KM),State,Ethnicity,Education,EducationField,JobRole,MaritalStatus,Salary,StockOptionLevel,OverTime,HireDate,Attrition,YearsAtCompany,YearsInMostRecentRole,YearsSinceLastPromotion,YearsWithCurrManager,EducationLevelID,EducationLevel,PerformanceID,ReviewDate,EnvironmentSatisfaction,JobSatisfaction,RelationshipSatisfaction,TrainingOpportunitiesWithinYear,TrainingOpportunitiesTaken,WorkLifeBalance,SelfRating,ManagerRating
3012-1A41,Leonelle,Simco,Female,30,Some Travel,Sales,27,IL,White,5,Marketing,Sales Executive,Divorced,102059,1,No,2012-01-03,No,10,4,9,7,5,Doctorate,PR1295,2016-10-30,Neutral,Neutral,Dissatisfied,3,0,Satisfied,Meets Expectation,Meets Expectation
3012-1A41,Leonelle,Simco,Female,30,Some Travel,Sales,27,IL,White,5,Marketing,Sales Executive,Divorced,102059,1,No,2012-01-03,No,10,4,9,7,5,Doctorate,PR1908,2017-10-30,Satisfied,Satisfied,Very Satisfied,3,1,Dissatisfied,Meets Expectation,Needs Improvement
3012-1A41,Leonelle,Simco,Female,30,Some Travel,Sales,27,IL,White,5,Marketing,Sales Executive,Divorced,102059,1,No,2012-01-03,No,10,4,9,7,5,Doctorate,PR2617,2018-10-30,Very Satisfied,Very Satisfied,Satisfied,3,0,Satisfied,Above and Beyond,Above and Beyond
3012-1A41,Leonelle,Simco,Female,30,Some Travel,Sales,27,IL,White,5,Marketing,Sales Executive,Divorced,102059,1,No,2012-01-03,No,10,4,9,7,5,Doctorate,PR3436,2019-10-30,Very Dissatisfied,Neutral,Dissatisfied,3,1,Neutral,Above and Beyond,Exceeds Expectation
3012-1A41,Leonelle,Simco,Female,30,Some Travel,Sales,27,IL,White,5,Marketing,Sales Executive,Divorced,102059,1,No,2012-01-03,No,10,4,9,7,5,Doctorate,PR411,2014-10-31,Neutral,Satisfied,Dissatisfied,1,0,Neutral,Exceeds Expectation,Meets Expectation
3012-1A41,Leonelle,Simco,Female,30,Some Travel,Sales,27,IL,White,5,Marketing,Sales Executive,Divorced,102059,1,No,2012-01-03,No,10,4,9,7,5,Doctorate,PR4378,2020-10-29,Neutral,Dissatisfied,Very Satisfied,1,0,Neutral,Above and Beyond,Exceeds Expectation
3012-1A41,Leonelle,Simco,Female,30,Some Travel,Sales,27,IL,White,5,Marketing,Sales Executive,Divorced,102059,1,No,2012-01-03,No,10,4,9,7,5,Doctorate,PR5415,2021-10-29,Satisfied,Very Satisfied,Satisfied,1,0,Satisfied,Meets Expectation,Meets Expectation
3012-1A41,Leonelle,Simco,Female,30,Some Travel,Sales,27,IL,White,5,Marketing,Sales Executive,Divorced,102059,1,No,2012-01-03,No,10,4,9,7,5,Doctorate,PR6529,2022-10-29,Satisfied,Dissatisfied,Satisfied,1,0,Dissatisfied,Above and Beyond,Exceeds Expectation
3012-1A41,Leonelle,Simco,Female,30,Some Travel,Sales,27,IL,White,5,Marketing,Sales Executive,Divorced,102059,1,No,2012-01-03,No,10,4,9,7,5,Doctorate,PR791,2015-10-31,Very Satisfied,Very Satisfied,Dissatisfied,2,1,Very Satisfied,Exceeds Expectation,Exceeds Expectation
C0C7-A3EF,Hagen,Worge,Male,48,No Travel,Sales,9,CA,White,5,Economics,Sales Executive,Single,125587,0,No,2012-02-12,No,10,10,10,4,5,Doctorate,PR1177,2016-06-28,Satisfied,Very Satisfied,Very Satisfied,2,0,Neutral,Exceeds Expectation,Exceeds Expectation
