EmployeeID,FirstName,LastName,Gender,Age,BusinessTravel,Department,DistanceFromHome (KM),State,Ethnicity,Education,EducationField,JobRole,MaritalStatus,Salary,StockOptionLevel,OverTime,HireDate,Attrition,YearsAtCompany,YearsInMostRecentRole,YearsSinceLastPromotion,YearsWithCurrManager,EducationLevelID,EducationLevel,PerformanceID,ReviewDate,EnvironmentSatisfaction,JobSatisfaction,RelationshipSatisfaction,TrainingOpportunitiesWithinYear,TrainingOpportunitiesTaken,WorkLifeBalance,SelfRating,ManagerRating
3012-1A41,Leonelle,Simco,Female,30,Some Travel,Sales,27,IL,White,5,Marketing,Sales Executive,Divorced,102059,1,No,2012-01-03,No,10,4,9,7,5,Doctorate,PR1295,2016-10-30,Neutral,Neutral,Dissatisfied,3,0,Satisfied,Meets Expectation,Meets Expectation
C0C7-A3EF,Hagen,Worge,Male,48,No Travel,Sales,9,CA,White,5,Economics,Sales Executive,Single,125587,0,No,2012-02-12,No,10,10,10,4,5,Doctorate,PR1177,2016-06-28,Satisfied,Very Satisfied,Very Satisfied,2,0,Neutral,Exceeds Expectation,Exceeds Expectation
3F19-FC5A,Hy,Trevance,Male,35,Some Travel,Sales,29,NY,White,5,Marketing,Sales Executive,Divorced,182764,2,Yes,2012-03-10,No,10,7,9,9,5,Doctorate,PR1256,2016-09-16,Satisfied,Very Satisfied,Very Satisfied,2,0,Dissatisfied,Meets Expectation,Meets Expectation
A2FB-2D5D,Lebbie,Poure,Female,43,Some Travel,Technology,11,CA,White,5,Information Systems,Analytics Manager,Married,482510,1,No,2012-03-17,No,10,9,9,1,5,Doctorate,PR1360,2016-12-22,Neutral,Dissatisfied,Satisfied,2,0,Neutral,Exceeds Expectation,Meets Expectation
DEBE-1622,Bartolemo,Balma,Male,28,Frequent Traveller,Technology,22,CA,White,5,Computer Science,Machine Learning Engineer,Single,205433,0,No,2012-04-02,Yes,4,1,2,1,5,Doctorate,PR1139,2016-05-29,Neutral,Dissatisfied,Neutral,1,0,Satisfied,Above and Beyond,Exceeds Expectation
2962-039F,Darice,Excell,Female,47,Some Travel,Technology,5,NY,Mixed or multiple ethnic groups,5,Information Systems,Data Scientist,Single,133616,0,Yes,2012-04-06,No,10,9,9,0,5,Doctorate,PR1239,2016-08-21,Neutral,Dissatisfied,Dissatisfied,1,0,Dissatisfied,Exceeds Expectation,Exceeds Expectation
B3FE-D332,Josephine,Stickley,Female,30,Some Travel,Technology,42,CA,White,5,Computer Science,Software Engineer,Married,93181,0,No,2013-03-15,No,9,8,9,4,5,Doctorate,PR1539,2017-03-13,Very Dissatisfied,Neutral,Satisfied,3,0,Dissatisfied,Exceeds Expectation,Exceeds Expectation
2A04-49D1,Tallie,Le Pine,Non-Binary,41,Some Travel,Technology,11,CA,Black or African American,5,Information Systems,Engineering Manager,Divorced,372980,1,No,2013-08-22,No,9,1,2,3,5,Doctorate,PR1316,2016-11-11,Satisfied,Neutral,Neutral,2,0,Satisfied,Above and Beyond,Exceeds Expectation
2E9A-BD2E,Blake,Metheringham,Male,36,Some Travel,Sales,13,CA,Asian or Asian American,5,Marketing,Manager,Married,432191,1,No,2013-09-27,No,9,1,8,0,5,Doctorate,PR1287,2016-10-25,Neutral,Very Satisfied,Dissatisfied,1,1,Very Satisfied,Meets Expectation,Needs Improvement
C54B-DBC5,Lilyan,Martinet,Female,33,Frequent Traveller,Sales,33,CA,Mixed or multiple ethnic groups,5,Marketing,Sales Executive,Married,115114,1,No,2013-11-12,No,9,9,9,6,5,Doctorate,PR1334,2016-11-29,Neutral,Dissatisfied,Dissatisfied,1,2,Neutral,Above and Beyond,Above and Beyond
9900-1159,Kristien,Vedikhov,Female,28,Frequent Traveller,Sales,40,IL,Black or African American,5,Marketing,Sales Executive,Married,215327,1,No,2014-04-13,No,8,1,6,8,5,Doctorate,PR1769,2017-07-11,Very Satisfied,Satisfied,Satisfied,1,2,Neutral,Exceeds Expectation,Exceeds Expectation
D871-1F74,Beitris,Davers,Female,32,Frequent Traveller,Technology,40,CA,White,5,Computer Science,Data Scientist,Single,60759,0,No,2014-06-22,No,8,0,6,3,5,Doctorate,PR1930,2017-11-09,Very Satisfied,Very Satisfied,Dissatisfied,2,2,Very Satisfied,Meets Expectation,Meets Expectation
95D8-5DC7,Udall,Dowson,Male,48,Some Travel,Technology,19,CA,Black or African American,5,Computer Science,Engineering Manager,Divorced,241907,3,No,2014-07-07,No,8,3,3,0,5,Doctorate,PR1788,2017-07-21,Neutral,Satisfied,Very Dissatisfied,3,0,Neutral,Meets Expectation,Meets Expectation
A896-CDE2,Wrennie,Quinton,Female,25,Some Travel,Technology,16,CA,White,5,Information Systems,Software Engineer,Married,28317,0,Yes,2015-05-13,No,7,4,6,5,5,Doctorate,PR2711,2018-12-22,Very Satisfied,Dissatisfied,Satisfied,3,1,Dissatisfied,Meets Expectation,Needs Improvement
E503-C500,Alexandro,De Pietri,Male,28,Some Travel,Technology,39,NY,Black or African American,5,Computer Science,Software Engineer,Single,81906,0,No,2015-06-04,No,7,4,4,1,5,Doctorate,PR2276,2018-04-22,Neutral,Very Satisfied,Very Satisfied,1,1,Neutral,Above and Beyond,Above and Beyond
C250-AF15,Ron,Hordle,Male,25,Some Travel,Technology,13,NY,Black or African American,5,Computer Science,Engineering Manager,Single,178337,0,No,2015-07-16,No,7,1,7,2,5,Doctorate,PR2092,2018-02-04,Very Satisfied,Neutral,Satisfied,2,2,Satisfied,Above and Beyond,Exceeds Expectation
B102-5713,Adlai,Pettit,Non-Binary,27,Some Travel,Sales,31,CA,Mixed or multiple ethnic groups,5,Marketing,Manager,Single,205622,0,No,2015-08-19,No,7,5,5,3,5,Doctorate,PR2574,2018-10-01,Satisfied,Satisfied,Neutral,1,2,Dissatisfied,Above and Beyond,Exceeds Expectation
ABB5-0B95,Thomasine,Odell,Non-Binary,28,No Travel,Technology,26,CA,Mixed or multiple ethnic groups,5,Computer Science,Data Scientist,Married,112175,3,No,2015-09-30,No,7,1,3,4,5,Doctorate,PR2153,2018-03-02,Very Satisfied,Satisfied,Very Satisfied,1,0,Satisfied,Above and Beyond,Exceeds Expectation
B44E-8AEE,Carlynn,Bartolic,Female,28,Some Travel,Sales,7,CA,White,5,Marketing,Sales Executive,Married,181164,1,No,2015-11-01,No,7,5,6,1,5,Doctorate,PR2193,2018-03-17,Neutral,Very Satisfied,Satisfied,1,3,Dissatisfied,Exceeds Expectation,Exceeds Expectation
D6BB-FEDF,Galen,Rocca,Male,28,Frequent Traveller,Technology,40,NY,White,5,Information Systems,Data Scientist,Divorced,109172,1,Yes,2015-11-19,No,7,1,3,1,5,Doctorate,PR2472,2018-07-25,Satisfied,Neutral,Satisfied,2,0,Satisfied,Exceeds Expectation,Exceeds Expectation
B679-F7C9,Hillard,Ell,Male,29,Some Travel,Technology,36,NY,Black or African American,5,Business Studies,Software Engineer,Single,113448,0,Yes,2015-12-31,No,7,0,4,1,5,Doctorate,PR2635,2018-11-07,Very Satisfied,Satisfied,Dissatisfied,3,1,Satisfied,Meets Expectation,Meets Expectation
259B-6C50,Raddie,Ballance,Male,27,Some Travel,Sales,27,CA,Other,5,Marketing,Sales Executive,Divorced,45880,1,Yes,2016-02-03,No,6,1,4,0,5,Doctorate,PR3128,2019-05-30,Neutral,Dissatisfied,Satisfied,2,1,Neutral,Exceeds Expectation,Exceeds Expectation
F1BD-033D,Robb,McGeechan,Male,25,Some Travel,Technology,21,CA,Mixed or multiple ethnic groups,5,Information Systems,Software Engineer,Married,46362,1,Yes,2016-03-15,No,6,0,4,5,5,Doctorate,PR3038,2019-04-28,Satisfied,Satisfied,Very Satisfied,1,1,Neutral,Above and Beyond,Above and Beyond
2FAE-9278,Ettore,Gorusso,Male,24,Some Travel,Technology,23,NY,White,5,Computer Science,Senior Software Engineer,Single,92798,0,Yes,2016-05-23,No,6,4,4,1,5,Doctorate,PR3132,2019-05-31,Neutral,Dissatisfied,Very Satisfied,3,0,Dissatisfied,Meets Expectation,Needs Improvement
7749-B277,Caryl,Roycroft,Male,24,Some Travel,Human Resources,1,IL,Mixed or multiple ethnic groups,5,Human Resources,HR Executive,Married,44634,0,No,2017-04-25,Yes,4,3,3,2,5,Doctorate,PR2142,2018-02-28,Very Satisfied,Dissatisfied,Dissatisfied,3,0,Satisfied,Above and Beyond,Exceeds Expectation
473C-EA4E,Myron,Millard,Male,26,Some Travel,Technology,28,CA,Mixed or multiple ethnic groups,5,Computer Science,Engineering Manager,Married,246505,1,No,2017-09-04,No,5,1,3,2,5,Doctorate,PR4246,2020-08-25,Very Satisfied,Neutral,Dissatisfied,3,1,Dissatisfied,Meets Expectation,Needs Improvement
B57F-B5CE,Adriano,Blackshaw,Male,26,Some Travel,Technology,23,CA,White,5,Information Systems,Machine Learning Engineer,Married,78934,3,No,2017-10-24,No,5,2,2,4,5,Doctorate,PR3568,2020-01-01,Very Satisfied,Satisfied,Neutral,2,1,Satisfied,Above and Beyond,Above and Beyond
2BD8-20A6,Berna,Patnelli,Female,35,Frequent Traveller,Technology,38,NY,Mixed or multiple ethnic groups,5,Information Systems,Engineering Manager,Single,310285,0,Yes,2017-11-30,No,5,4,4,3,5,Doctorate,PR3852,2020-04-07,Neutral,Dissatisfied,Neutral,3,1,Very Satisfied,Meets Expectation,Needs Improvement
84E7-02D4,Padraic,MacParlan,Male,26,Some Travel,Technology,41,CA,White,5,Business Studies,Machine Learning Engineer,Married,161600,1,No,2017-12-07,Yes,5,0,2,0,5,Doctorate,PR2206,2018-03-25,Satisfied,Satisfied,Neutral,2,2,Neutral,Meets Expectation,Meets Expectation
CDAC-40FE,Gwenora,Fourcade,Female,22,Some Travel,Technology,41,CA,Black or African American,5,Information Systems,Machine Learning Engineer,Single,75810,0,No,2018-12-24,No,4,2,4,3,5,Doctorate,PR4568,2021-01-12,Neutral,Very Dissatisfied,Very Dissatisfied,2,1,Neutral,Exceeds Expectation,Exceeds Expectation
97F7-5710,Jordan,Kuschke,Female,25,Frequent Traveller,Technology,4,CA,Asian or Asian American,5,Information Systems,Engineering Manager,Married,199034,0,Yes,2018-12-30,No,4,4,4,4,5,Doctorate,PR5450,2021-11-08,Very Satisfied,Neutral,Dissatisfied,1,2,Dissatisfied,Above and Beyond,Exceeds Expectation
4A0E-3728,Nancy,Summerton,Female,28,No Travel,Human Resources,4,IL,White,5,Economics,HR Executive,Married,152909,1,No,2019-02-15,No,3,1,3,2,5,Doctorate,PR5213,2021-08-05,Satisfied,Dissatisfied,Neutral,3,0,Very Satisfied,Meets Expectation,Meets Expectation
E480-FF03,Rod,Durston,Male,22,No Travel,Technology,13,CA,Mixed or multiple ethnic groups,5,Computer Science,Senior Software Engineer,Married,68629,1,No,2019-03-25,No,3,1,1,0,5,Doctorate,PR5109,2021-06-30,Satisfied,Satisfied,Very Satisfied,1,0,Dissatisfied,Meets Expectation,Meets Expectation
18CE-8F30,Wendy,Bootman,Female,31,Some Travel,Sales,38,CA,Black or African American,5,Marketing,Manager,Married,330940,1,No,2019-03-28,No,3,1,3,3,5,Doctorate,PR5341,2021-09-26,Very Satisfied,Satisfied,Neutral,1,0,Satisfied,Meets Expectation,Needs Improvement
B34E-95FF,Samuele,Creek,Male,25,Some Travel,Sales,33,NY,White,5,Marketing,Sales Executive,Divorced,87347,3,Yes,2019-11-09,Yes,2,1,1,0,5,Doctorate,PR4317,2020-09-30,Very Satisfied,Very Satisfied,Dissatisfied,1,1,Neutral,Exceeds Expectation,Exceeds Expectation
BD33-DB2F,Hashim,Stolze,Male,24,Some Travel,Technology,17,NY,White,5,Computer Science,Machine Learning Engineer,Divorced,63747,1,No,2020-01-09,No,2,1,1,0,5,Doctorate,PR6587,2022-11-17,Satisfied,Dissatisfied,Very Dissatisfied,3,2,Neutral,Meets Expectation,Meets Expectation
A072-D80B,Corbett,Weippert,Male,27,Some Travel,Sales,17,CA,White,5,Marketing,Sales Executive,Married,81294,1,No,2020-02-24,No,2,2,2,2,5,Doctorate,PR6128,2022-06-05,Neutral,Very Satisfied,Neutral,3,2,Very Satisfied,Meets Expectation,Needs Improvement
F578-F0C8,Domeniga,Killock,Female,21,Some Travel,Technology,6,CA,White,5,Business Studies,Software Engineer,Married,25149,0,No,2020-11-03,Yes,1,1,1,1,5,Doctorate,PR4411,2020-11-10,Satisfied,Satisfied,Dissatisfied,1,1,Satisfied,Exceeds Expectation,Meets Expectation
8A18-9075,Phyllys,Newham,Female,31,Frequent Traveller,Technology,25,NY,White,5,Information Systems,Analytics Manager,Single,362540,1,No,2021-03-03,No,1,0,0,0,5,Doctorate,PR6643,2022-12-09,Dissatisfied,Satisfied,Dissatisfied,1,0,Satisfied,Exceeds Expectation,Meets Expectation
